Car Brand,Car Model,Manufacture Year,Sales Date,Sale Country,Price
Honda,Pilot,2015,2024-01-17,Macao,43993
Volkswagen,Golf,1992,2022-09-20,Reunion,77244
Volkswagen,Jetta,2021,2020-04-22,French Polynesia,25223
Nissan,Pathfinder,1971,2021-11-22,Georgia,41548
Tesla,Model Y,1995,2020-08-23,Mayotte,12994
Mercedes-Benz,S-Class,1973,2019-06-13,Bhutan,37561
Toyota,RAV4,2019,2021-06-28,Venezuela,65023
Audi,Q7,2017,2023-08-25,Christmas Island,67308
Volkswagen,Passat,2017,2019-03-04,Belize,55185
BMW,5 Series,1974,2023-05-10,Ireland,67659
Tesla,Model S,2008,2019-12-22,Slovakia (Slovak Republic),445590
Honda,Civic,1973,2019-08-02,Nicaragua,67964
Tesla,Model 3,2023,2020-10-21,Saint Kitts and Nevis,27372
Nissan,Altima,2001,2019-11-18,Comoros,31372
Ford,F-150,1980,2021-11-15,Finland,41460
Chevrolet,Traverse,2006,1972-06-02,Uruguay,73785
Wrong Brand,Civic,2016,2021-01-12,Kazakhstan,751620
Wrong Brand,Silverado,2004,2022-01-07,Colombia,49648
Nissan,Altima,1996,2024-01-22,Canada,20674
Audi,A4,2012,2023-11-02,United Arab Emirates,74965
Audi,Q7,2013,2021-11-12,Saudi Arabia,53117
Volkswagen,Tiguan,2003,2021-09-16,Saint Kitts and Nevis,45956
Toyota,Corolla,1992,2022-04-11,Saudi Arabia,68671
Honda,Accord,1991,2023-03-16,Dominica,17085
Wrong Brand,Q7,1980,2021-10-31,Dominican Republic,13885
Volkswagen,Passat,1987,2020-11-29,Heard Island and McDonald Islands,61230
Mercedes-Benz,C-Class,1990,2019-04-30,New Caledonia,72743
Nissan,Pathfinder,2002,2022-11-09,Argentina,13422
Mercedes-Benz,GLE,1974,2019-04-10,Saint Helena,12110
Honda,Civic,2004,2021-06-12,Eritrea,58200
Mercedes-Benz,GLE,2004,2024-02-05,United Kingdom,47629
Nissan,Altima,1982,2023-02-12,North Macedonia,37782
Mercedes-Benz,C-Class,1985,2019-12-05,Jordan,69118
Mercedes-Benz,E-Class,2021,2020-08-07,Heard Island and McDonald Islands,47667
Chevrolet,Silverado,1994,2019-04-09,Antigua and Barbuda,64100
Nissan,Pathfinder,1977,1985-07-11,British Virgin Islands,433140
Volkswagen,Passat,1974,2020-01-09,Bulgaria,31581
Honda,CR-V,2009,2024-01-09,Belize,34584
Audi,Q5,1997,2023-09-02,Palau,70348
Toyota,Corolla,1988,2022-10-23,Namibia,31388
Volkswagen,Jetta,2020,2020-05-31,Maldives,33442
Toyota,Camry,1989,2023-01-21,Congo,46019
Mercedes-Benz,S-Class,1988,2021-07-23,Sweden,42107
Toyota,RAV4,2016,2020-02-21,Estonia,70052
Nissan,Titan,1995,2021-05-25,Azerbaijan,64805
Honda,Odyssey,1990,2020-03-02,Burkina Faso,49194
Audi,A4,1979,2022-07-27,Panama,24907
Nissan,Rogue,1990,2019-09-24,Swaziland,29343
Mercedes-Benz,GLC,2009,2023-03-25,Saint Helena,68607
Ford,Escape,1997,2021-02-26,Bahamas,50987
Wrong Brand,Pilot,1998,2020-05-14,Mongolia,40190
Audi,A6,2000,2021-05-18,Morocco,33071
Nissan,Titan,1978,2019-05-27,Malaysia,59352
Volkswagen,Passat,1986,2020-03-20,Bouvet Island (Bouvetoya),12437
Nissan,Titan,2015,2020-07-08,Netherlands,14110
Audi,A3,1998,2019-11-19,San Marino,308750
BMW,3 Series,1979,2020-07-21,Austria,16132
Ford,F-150,2002,2022-04-09,Somalia,56379
Tesla,Cybertruck,1976,2020-04-17,Croatia,31958
Nissan,Rogue,2001,2021-02-26,United Kingdom,50779
Tesla,Model 3,1987,1976-08-10,Qatar,38120
Mercedes-Benz,S-Class,2004,2020-04-01,Switzerland,68784
Audi,A6,1986,2021-03-14,Albania,54676
Tesla,Model S,2012,2022-12-28,Moldova,62540
Honda,Odyssey,1998,2019-05-05,Iceland,46611
Audi,Q7,1975,2022-07-05,Holy See (Vatican City State),34196
Ford,Focus,2018,2019-06-26,Guyana,63213
Volkswagen,Golf,1975,2023-10-05,Nicaragua,12915
Volkswagen,Passat,1995,2023-07-19,Tanzania,30627
Nissan,Altima,2009,2023-07-30,Belize,57052
Mercedes-Benz,E-Class,1970,2020-02-16,Finland,72056
Nissan,Pathfinder,1972,2020-10-11,Monaco,59427
Honda,Pilot,2003,2020-01-22,United States of America,20885
Mercedes-Benz,S-Class,1990,2020-04-24,Sudan,78593
Honda,CR-V,1983,2022-05-20,Cocos (Keeling) Islands,51730
Nissan,Sentra,1972,2023-11-03,Austria,122090
Mercedes-Benz,GLE,1995,2019-04-16,Senegal,28166
Audi,Q5,2007,2020-05-06,El Salvador,18776
Nissan,Titan,1978,2021-01-03,Uzbekistan,45146
Tesla,Cybertruck,1983,2021-09-21,Bhutan,62568
Audi,A6,2005,2023-04-29,Mexico,32679
BMW,X5,2020,2021-12-04,Aruba,36815
Volkswagen,Golf,1977,2022-07-27,Kenya,54249
Tesla,Model X,2011,2019-05-01,Belize,64958
Chevrolet,Silverado,1970,2019-10-17,South Africa,10649
Honda,Civic,1990,2021-01-15,Andorra,290450
Volkswagen,Jetta,1981,2021-06-12,Panama,51888
BMW,X3,1982,2022-02-26,Niue,51033
Tesla,Cybertruck,1970,2021-02-27,Nepal,42128
Honda,Odyssey,1974,2019-09-19,Kuwait,37785
Toyota,RAV4,1998,2023-02-05,Botswana,48883
Ford,Explorer,2004,2021-11-09,Honduras,39035
Audi,A4,2012,2021-03-19,Ethiopia,57474
BMW,X5,1985,2022-10-21,Bhutan,76558
Volkswagen,Tiguan,2001,2023-11-12,Reunion,41868
Toyota,Camry,1976,2022-12-15,Central African Republic,37418
BMW,X5,2005,2019-10-09,Mali,34199
Chevrolet,Cruze,1978,2023-03-21,Lebanon,51607
Chevrolet,Silverado,2002,2022-12-23,Pakistan,58798
Audi,Q5,2013,2020-06-16,Thailand,76975
Ford,Focus,2018,2022-12-16,Pakistan,33609
Wrong Brand,Altima,1984,1987-12-21,Argentina,75293
Ford,Escape,1978,2022-07-20,Comoros,26350
Toyota,Corolla,2019,2023-03-11,Mongolia,62161
Chevrolet,Silverado,1999,2020-03-04,Western Sahara,53639
Toyota,Highlander,1987,2019-11-13,Qatar,66569
Nissan,Altima,2021,2003-02-14,Korea,62710
Audi,Q7,2002,1988-10-14,Nauru,26241
Audi,A6,1972,2022-06-30,Fiji,38497
Chevrolet,Malibu,1987,2022-05-18,Antigua and Barbuda,45495
Ford,Escape,2023,2019-09-24,Uganda,35253
Ford,F-150,2013,2020-06-28,Estonia,17993
Honda,Civic,2005,2021-01-02,Ukraine,359880
Volkswagen,Passat,1976,2022-05-06,Thailand,40143
Chevrolet,Silverado,1984,2023-03-08,Puerto Rico,46898
Volkswagen,Golf,1987,2021-11-03,Portugal,70580
Tesla,Model S,2007,2019-11-14,Egypt,60657
Nissan,Sentra,2021,2019-07-28,Cameroon,36125
Toyota,RAV4,1994,2021-05-26,Hong Kong,57062
Mercedes-Benz,C-Class,1990,2021-03-31,New Zealand,75484
Audi,A3,1981,2022-05-03,Angola,67700
Toyota,Corolla,2020,2020-10-07,Congo,61023
Audi,A3,1978,2023-09-26,Yemen,50211
Toyota,Corolla,2004,2019-09-17,Cocos (Keeling) Islands,26166
Nissan,Rogue,2007,2023-03-16,Kiribati,32678
BMW,3 Series,1981,2023-09-15,Malawi,10456
Tesla,Cybertruck,1998,2021-06-17,French Guiana,58530
BMW,5 Series,1985,2021-01-18,Cameroon,51762
Audi,A6,2014,2022-09-23,Botswana,57332
Nissan,Pathfinder,1992,2020-04-08,Denmark,48404
Mercedes-Benz,C-Class,1978,2020-08-06,Japan,43967
Volkswagen,Atlas,1988,1984-07-18,Slovakia (Slovak Republic),15326
Mercedes-Benz,GLC,1992,2023-01-13,Iceland,59837
Tesla,Model X,1976,2022-07-04,Korea,54656
Audi,Q5,1997,2020-11-02,Bhutan,24059
Nissan,Sentra,1971,2023-09-05,Taiwan,63944
Nissan,Pathfinder,2005,2020-04-08,Netherlands,71916
Toyota,Highlander,1986,2020-05-29,Spain,67668
Mercedes-Benz,C-Class,2017,2023-03-21,Cape Verde,12005
BMW,5 Series,2014,2022-03-05,Svalbard & Jan Mayen Islands,34424
BMW,X5,1988,2021-09-12,Barbados,11901
Mercedes-Benz,GLE,2020,2019-05-28,Bhutan,39927
Toyota,RAV4,1996,2022-02-12,Chad,78397
Volkswagen,Tiguan,1989,2019-10-31,Yemen,71310
Honda,Pilot,2014,2020-07-31,Samoa,31422
Volkswagen,Passat,1990,2019-03-25,Egypt,10625
Nissan,Rogue,2011,2020-11-05,Burundi,22206
Tesla,Model S,2019,2023-07-28,Albania,63831
BMW,X3,1974,2020-09-01,United Kingdom,38330
Mercedes-Benz,S-Class,2004,2021-05-07,Christmas Island,45975
BMW,X5,2021,2021-05-07,Brazil,49989
Volkswagen,Jetta,2014,2021-07-24,Cape Verde,52507
Honda,Pilot,2015,2022-01-13,Guernsey,22028
Honda,CR-V,1986,2022-02-19,Fiji,70945
Wrong Brand,C-Class,1981,2020-08-04,Sierra Leone,68576
Toyota,Highlander,1978,2022-12-16,Tokelau,13709
Ford,Explorer,2003,2023-12-18,Djibouti,15562
Tesla,Model Y,1989,2023-01-14,Lithuania,27908
Chevrolet,Malibu,2014,2022-12-06,Norfolk Island,69734
Chevrolet,Equinox,2010,2023-02-26,Saudi Arabia,24107
Nissan,Altima,1987,2020-09-12,Isle of Man,46972
Audi,Q7,2021,2022-10-14,United States of America,10437
Volkswagen,Passat,1990,2022-05-11,Jamaica,67538
Audi,Q7,2003,2022-08-29,Guernsey,72701
Chevrolet,Cruze,1982,1974-09-07,Norfolk Island,69457
Honda,Accord,1994,2020-06-09,Malta,34709
Toyota,Corolla,2011,2024-01-13,Myanmar,51928
BMW,3 Series,1976,2024-01-01,San Marino,16856
Audi,A4,1995,2020-05-28,Brazil,15414
Ford,F-150,1974,2021-07-12,Switzerland,37029
Ford,F-150,2006,2023-01-08,Barbados,47871
Wrong Brand,A3,2019,2022-10-03,Cote d'Ivoire,68348
BMW,X5,1970,2022-12-25,Madagascar,34326
Honda,Pilot,2005,2021-11-05,Georgia,21354
Volkswagen,Golf,1991,2020-09-27,Bosnia and Herzegovina,41827
BMW,X5,1988,2022-01-20,Saint Vincent and the Grenadines,12895
Honda,Pilot,2014,2022-09-17,Russian Federation,12887
Volkswagen,Atlas,2021,2019-02-18,Tunisia,19648
Toyota,Tacoma,2011,2023-05-14,Bahrain,55844
Mercedes-Benz,S-Class,2015,2019-09-05,Iran,46364
Audi,Q5,1976,2020-03-19,Ukraine,49183
Mercedes-Benz,GLC,2022,2023-08-25,China,79002
Toyota,Highlander,2000,2023-03-11,Nicaragua,17621
Nissan,Sentra,1990,2022-08-07,Saint Lucia,27304
Ford,Focus,2000,2021-08-31,Netherlands Antilles,38441
BMW,X3,1995,2020-09-01,Comoros,48863
Mercedes-Benz,GLC,1970,2023-05-01,Martinique,26006
Tesla,Model Y,1998,2022-12-21,Croatia,15626
Nissan,Rogue,1975,2021-09-27,Cuba,77627
Wrong Brand,CR-V,1991,2020-12-18,Slovenia,74090
Mercedes-Benz,GLC,2023,2022-09-02,Marshall Islands,21272
BMW,5 Series,2000,2023-03-24,Italy,69922
Ford,F-150,2014,2020-10-16,Thailand,47521
Ford,F-150,2020,2020-11-24,Uzbekistan,61713
Volkswagen,Jetta,1979,2019-05-16,Macao,73277
Toyota,Highlander,2006,2022-10-29,Saint Kitts and Nevis,44056
Ford,Focus,2005,2019-06-22,Portugal,64861
Honda,CR-V,2006,2020-08-02,Romania,285660
Wrong Brand,Tiguan,1995,2020-12-04,Isle of Man,43683
Volkswagen,Atlas,2003,2023-11-05,Malawi,77484
Tesla,Model X,1976,2020-02-03,Romania,61037
Honda,Civic,1996,2019-04-20,Bulgaria,78231
Audi,Q7,1989,2020-05-19,Lebanon,77853
Honda,Civic,1998,2020-07-08,Hungary,56834
Tesla,Model Y,1989,2019-06-27,Chile,70241
Mercedes-Benz,C-Class,2018,2021-10-07,Anguilla,74471
Honda,Pilot,2009,2019-11-11,El Salvador,57001
BMW,7 Series,2020,1990-07-27,Gambia,69448
Toyota,Corolla,1970,2020-04-27,Chad,10687
Wrong Brand,E-Class,2008,2022-05-04,Croatia,30940
Chevrolet,Equinox,1987,2020-10-02,Romania,231070
Toyota,RAV4,1982,2023-11-06,Monaco,73888
Nissan,Altima,1982,2019-04-15,Belarus,13214
Honda,Pilot,1981,2020-02-07,Portugal,39180
Honda,Odyssey,2005,2023-09-21,Papua New Guinea,33516
Nissan,Sentra,1991,2019-08-20,Equatorial Guinea,47484
Mercedes-Benz,C-Class,2008,2022-08-05,British Virgin Islands,63450
BMW,7 Series,2015,2019-08-29,Tuvalu,10227
Volkswagen,Passat,2003,2023-03-03,Jamaica,49303
Volkswagen,Jetta,2012,2021-05-23,Equatorial Guinea,53522
Honda,CR-V,1984,2020-11-17,Isle of Man,77522
Toyota,Corolla,1974,2021-01-01,Netherlands Antilles,286290
Volkswagen,Atlas,2002,2020-05-03,Nepal,32766
BMW,5 Series,1988,2023-05-30,Bhutan,33588
Audi,A6,1982,2020-05-27,Cocos (Keeling) Islands,460720
Mercedes-Benz,E-Class,1972,2021-10-19,Slovakia (Slovak Republic),34855
BMW,3 Series,1979,2019-07-04,Lebanon,13813
Wrong Brand,Cruze,1993,2021-02-05,Congo,20551
Nissan,Altima,1997,1984-07-08,Holy See (Vatican City State),11075
Volkswagen,Jetta,2013,2019-06-27,Lithuania,63463
Volkswagen,Jetta,1976,2020-01-28,Kyrgyz Republic,31038
Ford,Explorer,2023,2020-08-16,Guernsey,39276
Tesla,Model Y,1992,2020-06-21,Madagascar,57145
Nissan,Altima,1974,2022-03-07,Palau,50913
Mercedes-Benz,GLC,1996,2022-04-02,Uganda,72468
Toyota,Camry,1984,2020-12-26,Norfolk Island,78702
Volkswagen,Jetta,2010,2021-10-14,American Samoa,68014
Tesla,Model Y,1975,2022-08-16,France,39064
Tesla,Cybertruck,1999,2019-02-10,Austria,44478
Ford,F-150,2007,2020-06-22,Gibraltar,68723
Wrong Brand,Altima,2003,2021-01-15,Argentina,12818
Nissan,Titan,2020,2022-12-26,South Georgia and the South Sandwich Islands,35957
Tesla,Model S,2016,2023-12-23,Bhutan,33207
Honda,Accord,1977,2020-03-09,South Africa,75765
Tesla,Model 3,2019,2021-02-22,Denmark,67363
Toyota,Corolla,1971,2020-07-17,Nauru,66730
BMW,X5,1994,2021-06-15,Gambia,30660
BMW,3 Series,2010,2023-05-28,Cape Verde,35894
Volkswagen,Passat,2000,2021-01-29,Macao,78776
Honda,CR-V,1992,2023-03-06,Hungary,24881
Ford,Escape,1992,2021-05-15,Swaziland,13952
Ford,Focus,2023,2021-11-12,Rwanda,50739
Mercedes-Benz,GLE,2020,2023-11-29,Greece,62379
Toyota,Tacoma,1972,1973-09-06,Falkland Islands (Malvinas),40360
Ford,Explorer,2006,2023-09-16,Christmas Island,11045
Wrong Brand,5 Series,1993,2021-09-09,France,12200
Toyota,Tacoma,2016,2021-08-04,Aruba,49161
Ford,F-150,1970,2022-04-15,Finland,41848
Audi,A6,1991,2020-10-05,Guatemala,598970
Wrong Brand,Escape,2012,2019-05-07,Austria,67893
Chevrolet,Equinox,2017,2019-12-17,Ghana,54764
Toyota,RAV4,1998,2022-05-07,Saint Barthelemy,33732
Nissan,Rogue,1995,2020-11-29,Serbia,60481
Honda,Pilot,1985,2024-01-21,Malawi,75297
BMW,5 Series,2016,2022-04-18,Indonesia,14302
Toyota,Highlander,2002,2021-07-28,Timor-Leste,49210
Nissan,Altima,1993,2019-03-12,Norway,30574
BMW,X5,1997,2022-12-02,Tokelau,23814
BMW,5 Series,2017,2021-04-11,French Polynesia,66098
Mercedes-Benz,GLC,1973,2020-02-03,American Samoa,28615
Tesla,Model Y,2009,2022-09-16,Estonia,64730
BMW,5 Series,2004,2021-08-18,Cyprus,24752
Tesla,Model 3,1974,2020-09-23,Serbia,15011
Chevrolet,Traverse,1996,1992-07-25,Timor-Leste,48405
Audi,A4,1989,2020-11-16,Chad,45968
BMW,7 Series,2009,2023-05-17,Macao,64786
Honda,Civic,1995,2021-10-10,Switzerland,19847
Ford,F-150,2008,2019-11-02,Tajikistan,75133
Tesla,Model 3,1974,2021-08-28,Finland,70251
Honda,CR-V,2004,2020-06-08,Papua New Guinea,26993
Ford,Mustang,2010,2023-05-24,Mauritania,32597
Volkswagen,Atlas,1983,2019-05-20,Namibia,25806
Nissan,Titan,1986,2019-12-08,Lao People's Democratic Republic,39152
Tesla,Model Y,2005,2021-09-16,Andorra,275530
Audi,Q5,1973,2019-12-31,Mauritania,64371
Chevrolet,Cruze,1977,2019-12-03,Zambia,37364
Toyota,Tacoma,2007,2020-11-29,Gambia,78216
Tesla,Model X,2017,2021-10-07,San Marino,39666
Nissan,Pathfinder,1991,2020-09-02,Sierra Leone,21445
Mercedes-Benz,GLE,2017,2021-02-03,Bangladesh,344500
Honda,Pilot,1971,2022-08-25,Wallis and Futuna,69558
Nissan,Sentra,2022,2021-03-27,Benin,43102
Mercedes-Benz,C-Class,1975,2022-12-12,Montserrat,48028
Toyota,Camry,2013,2021-04-03,Cote d'Ivoire,36252
Nissan,Pathfinder,2022,2020-11-12,Finland,56482
Toyota,RAV4,2012,2019-03-12,Latvia,76827
Toyota,Corolla,1973,2019-09-27,Italy,59556
Volkswagen,Passat,1977,2024-01-29,Albania,12346
Nissan,Rogue,2022,1988-10-02,Sierra Leone,11944
Honda,Civic,2016,2024-02-06,Jamaica,67821
Toyota,RAV4,1993,2022-10-23,Zimbabwe,24538
Wrong Brand,Pilot,2010,2023-09-19,Latvia,49752
Toyota,Camry,1983,2020-11-06,Niue,16542
Audi,Q7,2022,2023-04-24,Bahrain,20634
Mercedes-Benz,C-Class,1980,2019-01-04,Croatia,51782
Volkswagen,Tiguan,2020,2021-10-13,Italy,60548
Mercedes-Benz,S-Class,1988,2022-08-09,Cote d'Ivoire,26559
Tesla,Model 3,1986,2022-04-18,Japan,46459
Nissan,Pathfinder,2003,2023-01-14,Trinidad and Tobago,67155
Mercedes-Benz,GLE,1990,2022-11-04,Mongolia,46599
Honda,Pilot,2022,2021-02-14,Holy See (Vatican City State),45195
Tesla,Model Y,1978,2021-12-05,Niger,678870
Toyota,RAV4,2011,2021-08-13,Vanuatu,55978
Nissan,Sentra,2019,2023-11-18,Sri Lanka,27267
Volkswagen,Jetta,1973,2003-08-23,Tunisia,63401
Ford,Explorer,2015,2020-03-09,Uganda,65070
Chevrolet,Traverse,2008,2022-03-14,Kazakhstan,52231
Mercedes-Benz,GLC,1991,2023-05-06,Nicaragua,64606
Volkswagen,Jetta,1999,2019-08-04,Lithuania,70719
Mercedes-Benz,C-Class,1980,2020-07-29,Mayotte,531020
Nissan,Titan,2007,2021-09-02,Zimbabwe,68446
Toyota,Tacoma,1980,2020-09-18,Botswana,75399
Honda,Odyssey,1982,2022-10-03,Papua New Guinea,75901
Mercedes-Benz,GLE,1987,2022-09-28,Taiwan,656090
Tesla,Cybertruck,2016,2022-02-22,Italy,42405
Honda,Pilot,2000,2023-12-07,New Caledonia,11311
Mercedes-Benz,GLC,1996,2022-11-29,Bermuda,44830
Honda,Pilot,1979,2020-09-23,Peru,46577
Volkswagen,Jetta,2000,2021-02-09,Egypt,62923
Audi,A6,1997,2023-06-01,Sweden,64258
Wrong Brand,Passat,1984,2022-12-07,Guyana,39186
Chevrolet,Malibu,1970,2023-11-23,Guinea-Bissau,17226
Chevrolet,Traverse,2016,2022-05-24,Chad,79577
Ford,Explorer,1996,2022-11-02,Aruba,21808
Honda,Civic,1982,2022-02-14,Finland,10177
Toyota,Corolla,1998,2019-04-03,Angola,61453
BMW,X3,2019,2020-02-17,Libyan Arab Jamahiriya,54474
Honda,Pilot,2018,2023-12-21,Cote d'Ivoire,63410
Mercedes-Benz,E-Class,1973,2021-05-15,United States of America,62543
BMW,X5,2018,1993-10-27,Russian Federation,21655
Wrong Brand,Mustang,2004,2020-10-23,Brunei Darussalam,43337
Audi,A6,1977,2021-12-28,Antarctica (the territory South of 60 deg S),71951
Toyota,Corolla,1975,2020-01-26,Sri Lanka,48117
Nissan,Titan,2023,2021-05-16,El Salvador,19518
BMW,X5,2009,2021-02-11,Switzerland,50409
Nissan,Pathfinder,2019,2021-06-23,South Africa,33518
Tesla,Model X,1996,2022-06-17,Comoros,68665
Volkswagen,Golf,1977,1998-04-07,Canada,20015
Honda,Pilot,2001,2021-09-14,Nigeria,507090
BMW,5 Series,1981,2022-05-08,Hungary,53955
Chevrolet,Malibu,1993,2022-12-24,Central African Republic,55512
Volkswagen,Jetta,1976,2022-10-27,Lesotho,77869
Tesla,Model Y,2023,2020-08-23,Qatar,47074
Wrong Brand,3 Series,1998,2023-09-19,Swaziland,66460
Wrong Brand,Model 3,1990,2020-05-01,Tanzania,35251
Audi,A6,1992,2023-11-01,Libyan Arab Jamahiriya,17131
Tesla,Model 3,1986,2022-01-15,Egypt,33561
BMW,X5,1997,2021-06-29,Nigeria,17470
Ford,Mustang,2007,2019-02-24,Saint Kitts and Nevis,66646
Volkswagen,Jetta,1977,2021-02-26,Madagascar,20915
Audi,A3,1982,2022-12-15,Romania,41069
Toyota,Highlander,1981,2021-05-14,Iraq,72736
Ford,Explorer,2005,2020-10-11,New Zealand,25468
Ford,Mustang,1973,2023-06-08,Nicaragua,49970
Mercedes-Benz,GLC,2014,2019-08-24,Angola,60541
Mercedes-Benz,S-Class,1973,2020-04-05,Hungary,70262
Nissan,Altima,2014,2021-08-21,Tunisia,41481
Ford,Focus,1971,2020-05-27,Armenia,54942
Mercedes-Benz,S-Class,1992,2023-01-17,Dominica,26640
Volkswagen,Jetta,1997,2021-09-28,Ecuador,75646
Volkswagen,Atlas,1995,2022-08-31,Northern Mariana Islands,63522
Mercedes-Benz,C-Class,1986,2023-02-25,Gambia,66258
Volkswagen,Passat,1978,2021-05-15,Cuba,42383
Honda,Civic,1982,2020-02-07,Saint Lucia,68835
Honda,Accord,1996,2019-02-14,Denmark,77880
Ford,Escape,2016,2023-11-19,Thailand,47420
Volkswagen,Golf,2009,2020-10-08,Ethiopia,30834
Volkswagen,Golf,2015,2021-03-27,Marshall Islands,18996
Toyota,Corolla,2009,2020-01-02,Brunei Darussalam,604650
Honda,Pilot,1987,2006-09-28,Gambia,72728
Ford,Escape,2011,2021-06-11,Papua New Guinea,55693
Toyota,Camry,2000,2020-10-17,Guyana,70558
Audi,A3,2009,2023-01-16,Mayotte,44266
Toyota,Camry,2007,2022-02-04,Lithuania,32700
Chevrolet,Malibu,1987,2020-09-08,Mozambique,15535
Audi,A3,1994,2021-11-23,Barbados,30377
Honda,Odyssey,1975,2020-03-02,Netherlands,15868
Honda,Odyssey,2001,2019-09-30,Lebanon,11716
Audi,A4,2020,2023-06-05,Denmark,69976
Honda,Accord,2023,2004-02-07,United States Virgin Islands,33087
Toyota,RAV4,1987,2020-12-08,Uzbekistan,27328
BMW,7 Series,2003,2020-03-10,Palau,21103
Ford,Escape,2005,2021-04-07,United States of America,65011
Toyota,Highlander,2013,2023-04-14,Cameroon,599060
Honda,Odyssey,1991,2021-02-11,Namibia,28562
Chevrolet,Silverado,2021,2022-12-16,Gabon,11270
Volkswagen,Atlas,2009,2023-11-29,Tokelau,38743
Ford,Explorer,1982,2022-05-26,Saint Lucia,39599
Wrong Brand,Escape,1980,2023-10-13,Switzerland,43779
Honda,Accord,2013,2022-09-20,Fiji,60301
Mercedes-Benz,GLE,2021,1987-06-26,Ukraine,34893
BMW,X3,2020,2020-07-16,Japan,15190
Chevrolet,Traverse,1993,2022-12-12,Nauru,61227
Chevrolet,Cruze,2013,2022-07-04,Norfolk Island,65779
Wrong Brand,GLC,2001,2022-07-05,Gibraltar,321420
Toyota,Tacoma,1970,2019-03-11,Togo,66801
Wrong Brand,Odyssey,2008,2021-10-18,Afghanistan,65446
Wrong Brand,A3,2009,2021-07-26,Haiti,76239
Ford,Mustang,1979,2021-01-10,Micronesia,58203
Mercedes-Benz,GLC,2000,2022-12-12,Grenada,16486
Audi,Q7,1998,2024-01-02,Qatar,20539
Toyota,Highlander,2019,2023-12-13,Timor-Leste,71515
Volkswagen,Golf,1992,2020-11-15,Guam,12335
BMW,3 Series,1970,2022-10-20,Saint Helena,50397
Chevrolet,Silverado,2020,2021-11-07,Svalbard & Jan Mayen Islands,78914
Audi,A6,2021,2020-02-05,Brazil,18465
Chevrolet,Traverse,1992,2020-09-21,Cocos (Keeling) Islands,27082
Mercedes-Benz,E-Class,1995,2021-05-16,Switzerland,59374
Ford,Focus,2019,2021-05-06,Solomon Islands,63936
Tesla,Model 3,2012,2019-06-07,Poland,33999
Ford,Escape,2011,2023-04-26,British Indian Ocean Territory (Chagos Archipelago),20914
Audi,Q5,2020,2022-05-25,Morocco,31356
Mercedes-Benz,S-Class,2016,2019-11-07,Netherlands Antilles,73373
Volkswagen,Passat,1975,2023-11-29,Libyan Arab Jamahiriya,45702
Toyota,Highlander,2011,2023-06-01,Denmark,58998
Ford,Mustang,2008,2021-10-14,Bouvet Island (Bouvetoya),28394
Mercedes-Benz,S-Class,1991,2022-10-03,Andorra,38772
Mercedes-Benz,E-Class,2009,2019-10-12,Macao,44267
Chevrolet,Silverado,1982,2022-02-21,Sierra Leone,49256
Tesla,Model X,2001,2020-04-09,Djibouti,404700
Tesla,Model 3,2002,2024-02-03,Zimbabwe,48813
Ford,F-150,2007,2019-03-15,Greenland,77947
Chevrolet,Equinox,2012,2019-04-23,Philippines,12359
Nissan,Altima,1973,2022-03-12,Trinidad and Tobago,74386
Tesla,Cybertruck,2001,2022-11-26,Croatia,15714
Mercedes-Benz,GLC,1986,2020-11-30,Malawi,35278
BMW,3 Series,2010,2019-02-18,British Virgin Islands,595390
Chevrolet,Malibu,2015,2023-03-04,Aruba,25053
Audi,A6,1988,1994-10-29,South Georgia and the South Sandwich Islands,62289
Tesla,Model Y,1996,2022-05-12,Spain,63244
Honda,CR-V,2021,2023-04-24,Mauritania,11098
Wrong Brand,Camry,1996,2022-07-13,Oman,56981
Toyota,Highlander,1983,2021-05-20,Mozambique,19417
Tesla,Model X,2016,2019-03-26,Martinique,62577
Mercedes-Benz,S-Class,1987,2022-04-21,Bolivia,27285
Tesla,Model 3,1986,2019-09-05,Tokelau,36143
Toyota,RAV4,2011,2019-12-01,Singapore,45488
Volkswagen,Tiguan,2012,2024-01-21,Congo,31643
Tesla,Cybertruck,2015,2019-09-15,Central African Republic,41203
Tesla,Model X,1975,2020-04-01,Azerbaijan,54048
Tesla,Model S,1984,2021-01-11,United Kingdom,65019
Mercedes-Benz,GLE,1999,2019-10-19,Bermuda,74269
Chevrolet,Cruze,1988,2024-01-14,Switzerland,66910
BMW,X3,1973,2022-09-30,Heard Island and McDonald Islands,23956
Toyota,Corolla,1975,2023-09-07,Belize,19029
Toyota,Highlander,2013,2019-06-06,Benin,36352
Toyota,Highlander,1978,2021-11-06,Latvia,59565
Mercedes-Benz,GLE,2022,2022-06-02,Tonga,55483
Chevrolet,Silverado,1997,2021-08-11,Fiji,35857
Toyota,Tacoma,2020,2019-05-08,Bahrain,53371
Nissan,Sentra,2009,2021-11-21,Bosnia and Herzegovina,57256
Volkswagen,Passat,1993,2022-10-26,Lithuania,48453
Audi,Q5,2017,2020-04-04,American Samoa,66402
Ford,Explorer,2014,2021-02-12,Pakistan,48472
Honda,Civic,1981,2022-09-29,Sao Tome and Principe,36328
Mercedes-Benz,C-Class,2006,2020-06-10,Bulgaria,68066
Chevrolet,Cruze,1994,2020-04-13,Gabon,17952
Mercedes-Benz,C-Class,1975,2020-05-25,Vanuatu,70485
