Car Brand,Car Model,Sales Date
Nissan,Pathfinder,2021-06-23
Tesla,Model X,2022-06-17
Volkswagen,Golf,1998-04-07
Honda,Pilot,2021-09-14
BMW,5 Series,2022-05-08
Chevrolet,Malibu,2022-12-24
Volkswagen,Jetta,2022-10-27
Tesla,Model Y,2020-08-23
Wrong Brand,3 Series,2023-09-19
Wrong Brand,Model 3,2020-05-01
Audi,A6,2023-11-01
Tesla,Model 3,2022-01-15
BMW,X5,2021-06-29
Ford,Mustang,2019-02-24
Volkswagen,Jetta,2021-02-26
Audi,A3,2022-12-15
Toyota,Highlander,2021-05-14
Ford,Explorer,2020-10-11
Ford,Mustang,2023-06-08
Mercedes-Benz,GLC,2019-08-24
Mercedes-Benz,S-Class,2020-04-05
Nissan,Altima,2021-08-21
Ford,Focus,2020-05-27
Mercedes-Benz,S-Class,2023-01-17
Volkswagen,Jetta,2021-09-28
Volkswagen,Atlas,2022-08-31
Mercedes-Benz,C-Class,2023-02-25
Volkswagen,Passat,2021-05-15
Honda,Civic,2020-02-07
Honda,Accord,2019-02-14
Ford,Escape,2023-11-19
Volkswagen,Golf,2020-10-08
Volkswagen,Golf,2021-03-27
Toyota,Corolla,2020-01-02
Honda,Pilot,2006-09-28
Ford,Escape,2021-06-11
Toyota,Camry,2020-10-17
Audi,A3,2023-01-16
Toyota,Camry,2022-02-04
Chevrolet,Malibu,2020-09-08
Audi,A3,2021-11-23
Honda,Odyssey,2020-03-02
Honda,Odyssey,2019-09-30
Audi,A4,2023-06-05
Honda,Accord,2004-02-07
Toyota,RAV4,2020-12-08
BMW,7 Series,2020-03-10
Ford,Escape,2021-04-07
Toyota,Highlander,2023-04-14
Honda,Odyssey,2021-02-11
Chevrolet,Silverado,2022-12-16
Volkswagen,Atlas,2023-11-29
Ford,Explorer,2022-05-26
Wrong Brand,Escape,2023-10-13
Honda,Accord,2022-09-20
Mercedes-Benz,GLE,1987-06-26
BMW,X3,2020-07-16
Chevrolet,Traverse,2022-12-12
Chevrolet,Cruze,2022-07-04
Wrong Brand,GLC,2022-07-05
Toyota,Tacoma,2019-03-11
Wrong Brand,Odyssey,2021-10-18
Wrong Brand,A3,2021-07-26
Ford,Mustang,2021-01-10
Mercedes-Benz,GLC,2022-12-12
Audi,Q7,2024-01-02
Toyota,Highlander,2023-12-13
Volkswagen,Golf,2020-11-15
BMW,3 Series,2022-10-20
Chevrolet,Silverado,2021-11-07
Audi,A6,2020-02-05
Chevrolet,Traverse,2020-09-21
Mercedes-Benz,E-Class,2021-05-16
Ford,Focus,2021-05-06
Tesla,Model 3,2019-06-07
Ford,Escape,2023-04-26
Audi,Q5,2022-05-25
Mercedes-Benz,S-Class,2019-11-07
Volkswagen,Passat,2023-11-29
Toyota,Highlander,2023-06-01
Ford,Mustang,2021-10-14
Mercedes-Benz,S-Class,2022-10-03
Mercedes-Benz,E-Class,2019-10-12
Chevrolet,Silverado,2022-02-21
Tesla,Model X,2020-04-09
Tesla,Model 3,2024-02-03
Ford,F-150,2019-03-15
Chevrolet,Equinox,2019-04-23
Nissan,Altima,2022-03-12
Tesla,Cybertruck,2022-11-26
Mercedes-Benz,GLC,2020-11-30
BMW,3 Series,2019-02-18
Chevrolet,Malibu,2023-03-04
Audi,A6,1994-10-29
Tesla,Model Y,2022-05-12
Honda,CR-V,2023-04-24
Wrong Brand,Camry,2022-07-13
Toyota,Highlander,2021-05-20
Tesla,Model X,2019-03-26
Mercedes-Benz,S-Class,2022-04-21
Tesla,Model 3,2019-09-05
Toyota,RAV4,2019-12-01
Volkswagen,Tiguan,2024-01-21
Tesla,Cybertruck,2019-09-15
Tesla,Model X,2020-04-01
Tesla,Model S,2021-01-11
Mercedes-Benz,GLE,2019-10-19
Chevrolet,Cruze,2024-01-14
BMW,X3,2022-09-30
Toyota,Corolla,2023-09-07
Toyota,Highlander,2019-06-06
Toyota,Highlander,2021-11-06
Mercedes-Benz,GLE,2022-06-02
Chevrolet,Silverado,2021-08-11
Toyota,Tacoma,2019-05-08
Nissan,Sentra,2021-11-21
Volkswagen,Passat,2022-10-26
Audi,Q5,2020-04-04
Ford,Explorer,2021-02-12
Honda,Civic,2022-09-29
Mercedes-Benz,C-Class,2020-06-10
Chevrolet,Cruze,2020-04-13
Mercedes-Benz,C-Class,2020-05-25
Mercedes-Benz,E-Class,2021-06-28
Ford,Explorer,2020-08-01
Audi,A4,2023-12-28
Mercedes-Benz,GLC,2021-04-15
Honda,Pilot,2022-04-18
BMW,7 Series,2020-06-29
Tesla,Cybertruck,2023-05-26
BMW,7 Series,2021-06-10
Volkswagen,Tiguan,2019-04-22
Toyota,Corolla,2020-09-17
Toyota,Highlander,2021-03-08
Tesla,Model Y,2019-04-04
Mercedes-Benz,GLE,2003-06-29
Nissan,Rogue,2022-04-12
Volkswagen,Tiguan,2021-04-10
Honda,Civic,2020-08-24
Nissan,Pathfinder,2024-01-14
Mercedes-Benz,GLE,2020-01-22
Wrong Brand,5 Series,2019-12-30
BMW,7 Series,2020-03-26
BMW,5 Series,2020-06-30
Chevrolet,Malibu,2019-03-30
Nissan,Pathfinder,2022-11-10
Tesla,Cybertruck,2024-01-30
Wrong Brand,Mustang,2022-11-18
Tesla,Cybertruck,2021-12-21
Chevrolet,Traverse,2023-07-18
Nissan,Altima,2023-07-21
Nissan,Rogue,2019-10-28
Chevrolet,Malibu,2019-06-28
Tesla,Model S,2019-08-30
Audi,A4,2022-08-25
Tesla,Model X,2023-01-27
Wrong Brand,Altima,2021-01-09
Nissan,Pathfinder,2023-03-31
Toyota,RAV4,2019-06-19
Mercedes-Benz,E-Class,2019-12-03
Nissan,Rogue,2020-01-19
Mercedes-Benz,C-Class,2005-10-13
Volkswagen,Atlas,2020-06-14
Volkswagen,Passat,2023-01-31
Volkswagen,Jetta,2021-07-25
Honda,Pilot,2019-12-03
Volkswagen,Tiguan,2020-05-22
Wrong Brand,Q5,2023-08-07
Audi,Q7,1999-08-07
Tesla,Model S,2021-11-07
Audi,Q7,2019-04-04
BMW,X5,2020-04-18
Volkswagen,Golf,2019-05-08
Nissan,Pathfinder,2023-08-25
Tesla,Model X,2019-09-25
Tesla,Model X,2023-12-23
Toyota,RAV4,2021-07-27
Tesla,Model X,2020-03-03
Tesla,Model Y,2022-04-14
Volkswagen,Atlas,2021-12-30
Chevrolet,Equinox,2019-05-21
Volkswagen,Atlas,2020-12-29
Audi,A6,2021-08-09
Honda,Odyssey,2020-04-04
Mercedes-Benz,GLC,2020-01-26
Volkswagen,Tiguan,2022-11-29
Ford,Focus,2023-01-10
Honda,Civic,2021-05-11
Chevrolet,Cruze,2019-08-25
Audi,A4,2021-06-06
Chevrolet,Malibu,2020-12-25
BMW,X5,2021-06-15
Mercedes-Benz,E-Class,2020-03-10
Wrong Brand,Jetta,2019-09-20
Mercedes-Benz,C-Class,2021-03-31
Wrong Brand,C-Class,2020-08-04
Toyota,Corolla,2022-10-23
Audi,A6,2023-07-06
Wrong Brand,Altima,1987-12-21
Ford,Explorer,2022-11-14
BMW,X5,2022-06-11
Tesla,Cybertruck,2021-02-27
Nissan,Altima,2019-04-14
Toyota,Camry,2020-11-06
Mercedes-Benz,C-Class,2021-05-19
Nissan,Titan,2023-12-01
Toyota,Highlander,2022-10-29
Chevrolet,Traverse,2021-09-17
Ford,F-150,2019-07-16
Ford,Mustang,2022-07-28
Nissan,Altima,1984-07-08
Toyota,RAV4,2023-02-05
BMW,3 Series,2023-09-15
Honda,Civic,2023-11-01
Toyota,RAV4,2022-05-07
Nissan,Pathfinder,2021-11-22
Volkswagen,Golf,2020-11-15
Chevrolet,Silverado,2022-11-02
Wrong Brand,Escape,2022-07-05
Honda,Odyssey,2022-08-24
Ford,Escape,2022-09-18
Nissan,Sentra,2019-07-28
Honda,Accord,2019-10-20
Wrong Brand,Jetta,2020-06-01
Volkswagen,Golf,2020-10-08
Ford,Explorer,2020-03-09
Honda,CR-V,2023-04-24
Volkswagen,Passat,2021-12-22
BMW,X3,2020-02-09
Wrong Brand,Traverse,2021-05-27
Toyota,Corolla,2024-01-13
Ford,Explorer,2022-11-02
BMW,7 Series,1990-07-27
Volkswagen,Jetta,2021-10-14
Tesla,Model X,2020-09-01
Tesla,Model 3,2022-01-15
Ford,Explorer,2019-11-30
Volkswagen,Golf,2022-09-20
Mercedes-Benz,GLE,2019-09-10
Toyota,RAV4,2021-08-15
Volkswagen,Atlas,2021-11-05
